id_polo,sg_uf_polo,no_municipio_polo,nome_polo,polo_conceito,id_ies,ies_uf,sg_ies,ies_organizacao_academica,no_curso,tipo_curso,no_chamada_curso,qt_alunos_ativo
204,RJ,TRES RIOS,TRES RIOS - CENTRO,AA,12,RJ,CEFET-RJ,IFET,EDUCACAO TECNOLOGICA,ESPECIALIZAÇÃO,UAB,19
187,RJ,MIGUEL PEREIRA,MIGUEL PEREIRA - GOVERNADOR PORTELA,AA,12,RJ,CEFET-RJ,IFET,EDUCACAO TECNOLOGICA,ESPECIALIZAÇÃO,UAB,23
189,RJ,NOVA FRIBURGO,NOVA FRIBURGO - OLARIA,AA,12,RJ,CEFET-RJ,IFET,EDUCACAO TECNOLOGICA,ESPECIALIZAÇÃO,UAB,53
196,RJ,RIO DE JANEIRO,RIO DE JANEIRO - CAMPO GRANDE,AA,12,RJ,CEFET-RJ,IFET,EDUCACAO TECNOLOGICA,ESPECIALIZAÇÃO,UAB,72
190,RJ,PARACAMBI,PARACAMBI - FABRICA,AA,12,RJ,CEFET-RJ,IFET,EDUCACAO TECNOLOGICA,ESPECIALIZAÇÃO,UAB,28
861,RJ,NITEROI,NITEROI - FONSECA,AA,12,RJ,CEFET-RJ,IFET,EDUCACAO TECNOLOGICA,ESPECIALIZAÇÃO,UAB,34
200,RJ,SAO GONCALO,SAO GONCALO - GRADIM,AA,12,RJ,CEFET-RJ,IFET,EDUCACAO TECNOLOGICA,ESPECIALIZAÇÃO,UAB,28
194,RJ,RESENDE,RESENDE - CENTRO,AA,12,RJ,CEFET-RJ,IFET,EDUCACAO TECNOLOGICA,ESPECIALIZAÇÃO,UAB,17
114,MS,SAO GABRIEL DO OESTE,SAO GABRIEL DO OESTE - ZONA RURAL,AA,17,RJ,FIOCRUZ,Fundação,ATIVACAO DE PROCESSOS DE MUDANCAS NA FORMACAO,ESPECIALIZAÇÃO,UAB,6
498,BA,ILHEUS,ILHEUS - MALHADO,AA,17,RJ,FIOCRUZ,Fundação,ATIVACAO DE PROCESSOS DE MUDANCAS NA FORMACAO,ESPECIALIZAÇÃO,UAB,12
599,RS,NOVO HAMBURGO,NOVO HAMBURGO - CENTRO,AA,17,RJ,FIOCRUZ,Fundação,ATIVACAO DE PROCESSOS DE MUDANCAS NA FORMACAO,ESPECIALIZAÇÃO,UAB,25
305,PR,APUCARANA,APUCARANA - CENTRO,AA,17,RJ,FIOCRUZ,Fundação,ATIVACAO DE PROCESSOS DE MUDANCAS NA FORMACAO,ESPECIALIZAÇÃO,UAB,18
471,SP,FRANCA,FRANCA - CENTRO,AA,17,RJ,FIOCRUZ,Fundação,ATIVACAO DE PROCESSOS DE MUDANCAS NA FORMACAO,ESPECIALIZAÇÃO,UAB,21
276,SP,GUARULHOS,GUARULHOS - MACEDO,AA,17,RJ,FIOCRUZ,Fundação,ATIVACAO DE PROCESSOS DE MUDANCAS NA FORMACAO,ESPECIALIZAÇÃO,UAB,15
466,SC,FLORIANOPOLIS,FLORIANOPOLIS - CENTRO,AA,17,RJ,FIOCRUZ,Fundação,ATIVACAO DE PROCESSOS DE MUDANCAS NA FORMACAO,ESPECIALIZAÇÃO,UAB,15
290,TO,PALMAS,PALMAS - PLANO DIRETOR NORTE,AA,17,RJ,FIOCRUZ,Fundação,ATIVACAO DE PROCESSOS DE MUDANCAS NA FORMACAO,ESPECIALIZAÇÃO,UAB,11
950,MG,MONTES CLAROS,MONTES CLAROS - JK,AA,17,RJ,FIOCRUZ,Fundação,ATIVACAO DE PROCESSOS DE MUDANCAS NA FORMACAO,ESPECIALIZAÇÃO,UAB,12
248,RS,SANTA VITORIA DO PALMAR,SANTA VITORIA DO PALMAR - CENTRO,AA,19,RS,FURG,Universidade,PEDAGOGIA,LICENCIATURA,UAB,23
251,RS,SANTO ANTONIO DA PATRULHA,SANTO ANTONIO DA PATRULHA - CIDADE ALTA,AA,19,RS,FURG,Universidade,PEDAGOGIA,LICENCIATURA,UAB,34
254,RS,SAO JOSE DO NORTE,SAO JOSE DO NORTE - GUARIDA,AA,19,RS,FURG,Universidade,PEDAGOGIA,LICENCIATURA,UAB,5
255,RS,SAO LOURENCO DO SUL,SAO LOURENCO DO SUL - AVENIDA,AA,19,RS,FURG,Universidade,PEDAGOGIA,LICENCIATURA,UAB,15
255,RS,SAO LOURENCO DO SUL,SAO LOURENCO DO SUL - AVENIDA,AA,19,RS,FURG,Universidade,ADMINISTRACAO,BACHARELADO,UAB,6
251,RS,SANTO ANTONIO DA PATRULHA,SANTO ANTONIO DA PATRULHA - CIDADE ALTA,AA,19,RS,FURG,Universidade,ADMINISTRACAO,BACHARELADO,UAB,15
248,RS,SANTA VITORIA DO PALMAR,SANTA VITORIA DO PALMAR - CENTRO,AA,19,RS,FURG,Universidade,ADMINISTRACAO,BACHARELADO,UAB,5
711,RS,SAPIRANGA,SAPIRANGA - CENTRO,AA,19,RS,FURG,Universidade,ADMINISTRACAO,BACHARELADO,UAB,15
